outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,24.750974780
jfr-XGB-CV,GMSC,1,24.478012655
XGB-noCV,GMSC,4,7.304836495
jfr-XGB-noCV,GMSC,4,7.647151623
XGB-noCV,GMSC,8,7.252668924
jfr-XGB-noCV,GMSC,8,7.645786369
XGB-CV,covtypeNorm,1,128.286835215
jfr-XGB-CV,covtypeNorm,1,132.086071901
XGB-noCV,covtypeNorm,4,101.492291105
jfr-XGB-noCV,covtypeNorm,4,111.265632788
XGB-noCV,covtypeNorm,8,111.727158522
jfr-XGB-noCV,covtypeNorm,8,95.815971241
RFC-noCV,GMSC,1,57.621116593
jfr-RFC-noCV,GMSC,1,53.074998423
RFC-noCV,GMSC,4,30.239589088
jfr-RFC-noCV,GMSC,4,26.121877764
RFC-noCV,GMSC,8,37.052320989
jfr-RFC-noCV,GMSC,8,48.413875956
RFC-noCV,covtypeNorm,1,155.935672120
jfr-RFC-noCV,covtypeNorm,1,157.413119350
RFC-noCV,covtypeNorm,4,93.911784690
jfr-RFC-noCV,covtypeNorm,4,94.767267272
RFC-noCV,covtypeNorm,8,92.278274982
jfr-RFC-noCV,covtypeNorm,8,97.000271175
