outprefix,dataset,njobs,timeinsecs
XGB-CV,GMSC,1,25.220811095
jfr-XGB-CV,GMSC,1,25.286158561
XGB-CV,GMSC,4,20.847816121
jfr-XGB-CV,GMSC,4,21.397541909
XGB-CV,GMSC,8,21.177463571
jfr-XGB-CV,GMSC,8,22.052090942
RFC-noCV,covtypeNorm,1,142.524231047
jfr-RFC-noCV,covtypeNorm,1,145.381434047
RFC-noCV,covtypeNorm,4,79.864841603
jfr-RFC-noCV,covtypeNorm,4,84.371666455
RFC-noCV,covtypeNorm,8,85.628435057
jfr-RFC-noCV,covtypeNorm,8,86.703438133
RFC-noCV-8maxdepth,covtypeNorm,1,93.897637785
jfr-RFC-noCV-8maxdepth,covtypeNorm,1,93.573314420
RFC-noCV-8maxdepth,covtypeNorm,4,58.602004055
jfr-RFC-noCV-8maxdepth,covtypeNorm,4,60.991770883
RFC-noCV-8maxdepth,covtypeNorm,8,61.218081649
jfr-RFC-noCV-8maxdepth,covtypeNorm,8,60.708075563
